,datasets,softwares,threads,sequences,CPU Usage,CPU Time,Memory Usage,Wall-clock Time
135,SSU_NR99,DT@BIONJ-V,32,2000,925,21.14,150.284,2.3
136,SSU_NR99,DT@BIONJ-V,1,4000,84,41.5,365.952,49.79
137,SSU_NR99,DT@BIONJ-V,32,4000,1357,74.43,359.528,5.54
138,SSU_NR99,DT@BIONJ-V,1,8000,91,415.87,1208.032,460.13
139,SSU_NR99,DT@BIONJ-V,32,8000,2501,801.65,1208.44,33.11
140,SSU_NR99,DT@BIONJ-V,1,16000,97,2322.36,4682.58,2427.4
141,SSU_NR99,DT@BIONJ-V,32,16000,2837,3326.25,4852.28,123.54
142,SSU_NR99,DT@BIONJ-V,1,32000,99,6282.99,17697.66,6387.0
143,SSU_NR99,DT@BIONJ-V,32,32000,3068,23711.39,17699.252,790.37
144,SSU_NR99,DT@NJ-R,1,1000,82,2.68,68.212,3.33
145,SSU_NR99,DT@NJ-R,32,1000,933,10.33,65.508,1.12
146,SSU_NR99,DT@NJ-R,1,2000,78,8.88,150.704,11.86
147,SSU_NR99,DT@NJ-R,32,2000,1106,26.78,149.62,2.43
148,SSU_NR99,DT@NJ-R,1,4000,82,32.35,365.932,40.35
149,SSU_NR99,DT@NJ-R,32,4000,1666,106.97,368.232,6.74
150,SSU_NR99,DT@NJ-R,1,8000,91,177.59,1457.976,195.85
151,SSU_NR99,DT@NJ-R,32,8000,2141,448.54,1465.792,21.71
152,SSU_NR99,DT@NJ-R,1,16000,85,821.47,5624.132,988.89
153,SSU_NR99,DT@NJ-R,32,16000,2587,1842.1,5868.328,73.47
154,SSU_NR99,DT@NJ-R,1,32000,96,9744.93,20923.944,10312.0
155,SSU_NR99,DT@NJ-R,32,32000,2906,9810.05,21725.256,368.53
156,SSU_NR99,DT@NJ-V,1,1000,82,2.33,68.324,2.91
157,SSU_NR99,DT@NJ-V,32,1000,700,7.49,65.58,1.07
158,SSU_NR99,DT@NJ-V,1,2000,80,14.32,150.664,19.24
159,SSU_NR99,DT@NJ-V,32,2000,928,21.39,149.712,2.31
160,SSU_NR99,DT@NJ-V,1,4000,84,41.74,365.52,50.24
161,SSU_NR99,DT@NJ-V,32,4000,1488,88.56,359.056,6.06
162,SSU_NR99,DT@NJ-V,1,8000,90,348.44,989.664,387.92
163,SSU_NR99,DT@NJ-V,32,8000,2469,782.25,990.068,33.07
164,SSU_NR99,DT@NJ-V,1,16000,94,1344.36,3637.868,1426.45
165,SSU_NR99,DT@NJ-V,32,16000,2809,3174.12,3852.272,113.81
166,SSU_NR99,DT@NJ-V,1,32000,99,12066.42,13697.804,12267.0
167,SSU_NR99,DT@NJ-V,32,32000,3045,19113.19,13699.136,656.38
168,SSU_NR99,FastTree,1,1000,99,669.92,708.664,672.32
169,SSU_NR99,FastTree,32,1000,154,1024.02,705.64,665.28
170,SSU_NR99,FastTree,1,2000,99,1418.0,1195.976,1422.31
171,SSU_NR99,FastTree,32,2000,161,2050.09,1197.836,1273.54
172,SSU_NR99,FastTree,1,4000,99,2918.13,2174.132,2930.94
173,SSU_NR99,FastTree,32,4000,166,4339.62,2183.324,2614.31
174,SSU_NR99,FastTree,1,8000,99,6100.55,4079.528,6122.0
175,SSU_NR99,FastTree,32,8000,172,9161.89,4099.744,5324.0
176,SSU_NR99,FastTree,1,16000,99,13055.71,7853.78,13091.0
177,SSU_NR99,FastTree,32,16000,179,19378.73,7889.408,10869.0
178,SSU_NR99,FastTree,1,32000,99,28731.62,15316.12,28846.0
179,SSU_NR99,FastTree,32,32000,204,60348.48,15378.8,29752.0
