	Datasets	Softwares	Threads	Sequences	Memory_Usage	Wall-clock_Time	Log_Likelihood
127	LSU_NR99	DT@NJ-R	32	1000	22.7	0.93	-745849.8144			
128	LSU_NR99	DT@NJ-R	1	2000	83.352	3.01	-1329836.713			
129	LSU_NR99	DT@NJ-R	32	2000	83.564	2.94	-1330083.773			
130	LSU_NR99	DT@NJ-R	1	4000	319.056	12.94	-2334087.226			
131	LSU_NR99	DT@NJ-R	32	4000	323.248	11.57	-2333979.166			
132	LSU_NR99	DT@NJ-R	1	8000	1259.044	60.04	-4045767.247			
133	LSU_NR99	DT@NJ-R	32	8000	1266.92	47.64	-4045862.503			
134	LSU_NR99	DT@NJ-R	1	16000	5014.42	304.14	-7063510.768			
135	LSU_NR99	DT@NJ-R	32	16000	5030.092	209.72	-7064304.796			
136	LSU_NR99	DT@NJ-R	1	32000	20024.896	1801.01	-12264093.76			
137	LSU_NR99	DT@NJ-R	32	32000	20052.716	1018.29	-12265842.56			
138	LSU_NR99	DT@NJ-R	1	64000	80045.52	8930	-21487384.91			
139	LSU_NR99	DT@NJ-R	32	64000	80104.264	3897	-21492631.59			
140	LSU_NR99	DT@NJ-V	1	1000	16.328	0.78	-745138.0376			
141	LSU_NR99	DT@NJ-V	32	1000	14.708	0.89	-745129.7399			
142	LSU_NR99	DT@NJ-V	1	2000	51.812	3.24	-1329904.727			
143	LSU_NR99	DT@NJ-V	32	2000	50.852	3.12	-1329733.112			
144	LSU_NR99	DT@NJ-V	1	4000	193.604	15.01	-2334025.768			
145	LSU_NR99	DT@NJ-V	32	4000	194.168	11.41	-2333973.799			
146	LSU_NR99	DT@NJ-V	1	8000	758.316	82.29	-4045790.467			
147	LSU_NR99	DT@NJ-V	32	8000	758.928	49.59	-4045849.622			
148	LSU_NR99	DT@NJ-V	1	16000	3013.12	397.68	-7063124.374			
149	LSU_NR99	DT@NJ-V	32	16000	3013.292	258	-7063688.643			
150	LSU_NR99	DT@NJ-V	1	32000	12022.18	1856.52	-12264184.13			
151	LSU_NR99	DT@NJ-V	32	32000	12022.568	1024.33	-12266649.58			
152	LSU_NR99	DT@NJ-V	1	64000	48040.556	9599	-21490313.27			
153	LSU_NR99	DT@NJ-V	32	64000	48040.82	4165	-21491105.26			
154	LSU_NR99	FM@BIONJ	1	1000	61.204	2.53	-745107.1426			
155	LSU_NR99	FM@BIONJ	32	1000	61.204	2.55	-745107.1426			
156	LSU_NR99	FM@BIONJ	1	2000	234.968	25.61	-1336850.722			
157	LSU_NR99	FM@BIONJ	32	2000	234.892	28.89	-1336850.722			
158	LSU_NR99	FM@BIONJ	1	4000	928.028	354.1	-2344618.71			
159	LSU_NR99	FM@BIONJ	32	4000	928.036	357.44	-2344618.71			
160	LSU_NR99	FM@BIONJ	1	8000	3697.212	5206	-4069233.817			
161	LSU_NR99	FM@BIONJ	32	8000	3697.248	4482	-4069233.817			
162	LSU_NR99	FM@BIONJ	1	16000	0	0				
163	LSU_NR99	FM@BIONJ	32	16000	0	0				
164	LSU_NR99	FM@BIONJ	1	32000	0	0				
165	LSU_NR99	FM@BIONJ	32	32000	0	0				
166	LSU_NR99	FM@BIONJ	1	64000	0	0				
167	LSU_NR99	FM@BIONJ	32	64000	0	0				
168	LSU_NR99	FM@NJ	1	1000	61.12	2.77	-745173.7288			
169	LSU_NR99	FM@NJ	32	1000	61.136	3.18	-745173.7288			
170	LSU_NR99	FM@NJ	1	2000	234.844	26.79	-1331051.477			
171	LSU_NR99	FM@NJ	32	2000	234.948	25.81	-1331051.477			
172	LSU_NR99	FM@NJ	1	4000	928.06	349.68	-2331827.603			
173	LSU_NR99	FM@NJ	32	4000	928.1	349.57	-2331827.603			
174	LSU_NR99	FM@NJ	1	8000	3697.352	3862	-4047886.375			
175	LSU_NR99	FM@NJ	32	8000	3697.176	3857	-4047886.375			
176	LSU_NR99	FM@NJ	1	16000	0	0				
177	LSU_NR99	FM@NJ	32	16000	0	0				
178	LSU_NR99	FM@NJ	1	32000	0	0				
179	LSU_NR99	FM@NJ	32	32000	0	0				
180	LSU_NR99	FM@NJ	1	64000	0	0				
181	LSU_NR99	FM@NJ	32	64000	0	0				
182	LSU_NR99	RapidNJ	1	1000	12.568	0.24	-745173.9426			
183	LSU_NR99	RapidNJ	32	1000	12.564	0.26	-745173.9426			
184	LSU_NR99	RapidNJ	1	2000	39.5	1.05	-1331015.477			
185	LSU_NR99	RapidNJ	32	2000	39.496	1.07	-1331015.477			
186	LSU_NR99	RapidNJ	1	4000	135.184	5.51	-2331596.279			
187	LSU_NR99	RapidNJ	32	4000	135.184	5.51	-2331596.279			
188	LSU_NR99	RapidNJ	1	8000	484.548	35.43	-4047302.38			
189	LSU_NR99	RapidNJ	32	8000	484.544	32.2	-4047302.38			
190	LSU_NR99	RapidNJ	1	16000	1782.12	273.41	-7068122.49			
191	LSU_NR99	RapidNJ	32	16000	1782.124	273.02	-7068122.49			
192	LSU_NR99	RapidNJ	1	32000	6609.588	1929.66	-12272383.27			
193	LSU_NR99	RapidNJ	32	32000	6609.592	2017.56	-12272383.27			
194	LSU_NR99	RapidNJ	1	64000	25151.728	16693	-21523863.02			
195	LSU_NR99	RapidNJ	32	64000	25151.724	16571	-21523863.02			
196	SSU_NR99	DT@BIONJ-R	1	1000	28.12	0.81	-545253.3662			
197	SSU_NR99	DT@BIONJ-R	32	1000	26.412	0.89	-545190.812			
198	SSU_NR99	DT@BIONJ-R	1	2000	98.936	3.64	-971286.123			
199	SSU_NR99	DT@BIONJ-R	32	2000	98.864	3.22	-972703.4959			
200	SSU_NR99	DT@BIONJ-R	1	4000	381.48	13.05	-1741631.711			
201	SSU_NR99	DT@BIONJ-R	32	4000	386.328	12.58	-1743065.793			
202	SSU_NR99	DT@BIONJ-R	1	8000	1508.988	57.62	-3064980.466			
203	SSU_NR99	DT@BIONJ-R	32	8000	1516.884	48.47	-3065229.892			
204	SSU_NR99	DT@BIONJ-R	1	16000	6014.408	275.19	-5477487.617			
205	SSU_NR99	DT@BIONJ-R	32	16000	6028.72	190.5	-5477584.292			
206	SSU_NR99	DT@BIONJ-R	1	32000	24024.388	1703.43	-9801998.42			
207	SSU_NR99	DT@BIONJ-R	32	32000	24054.616	897.69	-9802226.907			
208	SSU_NR99	DT@BIONJ-R	1	64000	96045.028	12166	-17438511.36			
209	SSU_NR99	DT@BIONJ-R	32	64000	96105.256	3794	-17439118.71			
210	SSU_NR99	DT@BIONJ-V	1	1000	20.124	0.76	-545262.0485			
211	SSU_NR99	DT@BIONJ-V	32	1000	17.392	0.83	-545390.8793			
212	SSU_NR99	DT@BIONJ-V	1	2000	67.372	3.32	-970897.0783			
213	SSU_NR99	DT@BIONJ-V	32	2000	67.3	3.06	-971602.6053			
214	SSU_NR99	DT@BIONJ-V	1	4000	256.18	17.84	-1741852.859			
215	SSU_NR99	DT@BIONJ-V	32	4000	256.412	13.14	-1743478.5			
216	SSU_NR99	DT@BIONJ-V	1	8000	1008.5	102.1	-3064779.309			
217	SSU_NR99	DT@BIONJ-V	32	8000	1008.676	63.95	-3067437.418			
218	SSU_NR99	DT@BIONJ-V	1	16000	4012.812	522.56	-5477471.149			
219	SSU_NR99	DT@BIONJ-V	32	16000	4013.228	271.47	-5477949.174			
220	SSU_NR99	DT@BIONJ-V	1	32000	16021.608	3051.85	-9800463.549			
221	SSU_NR99	DT@BIONJ-V	32	32000	16022.172	1314.65	-9801337.016			
222	SSU_NR99	DT@BIONJ-V	1	64000	64039.36	21396	-17439274.25			
223	SSU_NR99	DT@BIONJ-V	32	64000	64039.924	6915	-17439289.45			
224	SSU_NR99	DT@NJ-R	1	1000	24.084	0.81	-545262.262			
225	SSU_NR99	DT@NJ-R	32	1000	22.936	0.91	-545402.3277			
226	SSU_NR99	DT@NJ-R	1	2000	83.224	3.55	-969189.8478			
227	SSU_NR99	DT@NJ-R	32	2000	83.492	3.23	-969488.2511			
228	SSU_NR99	DT@NJ-R	1	4000	319.012	13.21	-1742562.83			
229	SSU_NR99	DT@NJ-R	32	4000	322.928	11.94	-1742816.908			
230	SSU_NR99	DT@NJ-R	1	8000	1259.08	55.15	-3064316.282			
231	SSU_NR99	DT@NJ-R	32	8000	1266.044	46.39	-3064752.052			
232	SSU_NR99	DT@NJ-R	1	16000	5013.932	258.34	-5474317.038			
233	SSU_NR99	DT@NJ-R	32	16000	5029	185.26	-5474757.724			
234	SSU_NR99	DT@NJ-R	1	32000	20024.1	1633.16	-9808660.55			
235	SSU_NR99	DT@NJ-R	32	32000	20052.404	898.09	-9808748.69			
236	SSU_NR99	DT@NJ-R	1	64000	80044.068	11147	-17438713.15			
237	SSU_NR99	DT@NJ-R	32	64000	80100.712	3366.11	-17438763.33			
238	SSU_NR99	DT@NJ-V	1	1000	16.484	0.79	-545063.7266			
239	SSU_NR99	DT@NJ-V	32	1000	14.952	0.82	-544797.6374			
240	SSU_NR99	DT@NJ-V	1	2000	51.896	3.28	-969319.4275			
241	SSU_NR99	DT@NJ-V	32	2000	51.844	3.18	-969436.954			
